nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,objeto,modalidade,dataPublicacao,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"PREFEITURA MUNICIPAL DE CRICIUMA",80,2025,80,2025,"Registro de preços de grama sintética, compreendendo o fornecimento e a instalação, em parques e playgrounds de praças do município de Criciúma/SC.","Pregão eletrônico",2025-06-17,"Obras e Serviços de Engenharia","MENOR PRECO POR ITEM",2025-07-09,HOMOLOGADO," ","atasRegistroPrecos_3deb240e-1b8f-4fc7-85cb-e1aa6ac00925.csv"," "," ",2025-07-03T09:00:00Z," ",2025-05-15,2025-07-03," ","despesas_ec62c313-cb11-4554-8ab2-35ba1d96ef5a.csv","documentosRelacionados_56a31d33-1d24-4f3a-8345-8af44c8e2acc.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-06-17T08:00:00Z,"itensVencedores_d3cbf1ca-6de2-4bd1-9b08-59cb024a5329.csv",INTERNET," "," "," ","participantes_0d3abe65-b9fb-4abb-b05c-4d081f61f3ae.csv",SIM," ",2025-07-03T08:30:00Z,"Lei 14133/2021, Art. 28, I",362500,235000
"PREFEITURA MUNICIPAL DE CRICIUMA",32,2025,32,2025,"Contratação de empresa especializada na prestação de serviços de confecção e/ou manutenção preventiva e/ou corretiva de calhas, rufos, algerosas e pingadeiras, compreendendo o fornecimento de materiais e mão de obra, em atendimento das unidades escolares e demais locais sob a responsabilidade da Secretaria de Educação de Criciúma/SC.","Pregão eletrônico",2025-03-25,"Obras e Serviços de Engenharia","MENOR PRECO GLOBAL",2025-05-23,HOMOLOGADO," "," "," ","contratos_50005d94-adc7-46a5-b11c-d14a69281b1c.csv",2025-04-10T09:00:00Z," ",2025-02-25,2025-04-10," "," ","documentosRelacionados_52cc3b84-d965-4619-b77a-332bcb0a06a7.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-03-25T08:00:00Z,"itensVencedores_cab1c463-952b-49e4-a61c-1802f83ab131.csv",INTERNET," "," "," ","participantes_38ecabb1-1832-408e-bff2-3e310a1a010a.csv",NÃO," ",2025-04-10T08:30:00Z,"Lei 14133/2021, Art. 28, I",1052233.01,495999.45
"PREFEITURA MUNICIPAL DE CRICIUMA",56,2025,56,2025,"Registro de preços de materiais descartáveis (papel toalha, papel higiênico, guardanapos e copos descartáveis), em atendimento das Secretarias, Diretorias, Fundos, Fundações e Órgãos de Segurança do município de Criciúma/SC.","Pregão eletrônico",2025-05-19,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-07-14,HOMOLOGADO," ","atasRegistroPrecos_8b3d0765-3252-437f-9199-49efbc303582.csv"," "," ",2025-06-11T09:00:00Z," ",2025-03-02,2025-06-11," ","despesas_3e3d2bea-00e2-4136-90b6-05c416cd8fdf.csv","documentosRelacionados_7969cd11-d0de-4d0f-a3e3-8206b8ce7079.csv","compras@criciuma.sc.gov.br","empenhos_0efb41fb-45a3-4011-a2b1-72a73168e7db.csv","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-05-26T14:14:00Z,"itensVencedores_d1512ff3-2cf2-4462-9e7e-749db1e43cc4.csv",INTERNET," "," "," ","participantes_6ae3870b-258f-408c-846e-9e9222869536.csv",SIM," ",2025-06-11T08:30:00Z,"Lei 14133/2021, Art. 28, I",2903118.44,2323166.45
"PREFEITURA MUNICIPAL DE CRICIUMA",13,2025,13,2025,"Contratação de empresa, do ramo pertinente, para execução de serviços de chaveiro e cópia de chaves, com atendimento à domicílio, para atendimento as Secretarias, Fundos e Fundações, 9º Batalhão da Polícia Militar, 4º Batalhão de Bombeiros Militar e Polícia Civil de Criciúma/SC.","Pregão eletrônico",2025-02-04,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO GLOBAL",2025-02-28,HOMOLOGADO," "," "," ","contratos_e9aa6143-e1b9-45e7-bfd9-b3ab89ca99d6.csv",2025-02-25T09:00:00Z," ",2025-01-07,2025-02-25," "," ","documentosRelacionados_26e6c164-5a92-4beb-82e6-885571788822.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-02-04T08:00:00Z,"itensVencedores_6fa9205e-f243-4532-b950-d9b2d435cdca.csv",INTERNET," "," "," ","participantes_9e7ab6be-a0f6-4a7f-b5aa-8c3682e272cf.csv",NÃO," ",2025-02-25T08:30:00Z,"Lei 14133/2021, Art. 28, I",172216.9,167899.9
"PREFEITURA MUNICIPAL DE CRICIUMA",43,2025,43,2025,"CONTRATAÇÃO ATRAVÉS DE EMPRESA OU CONSÓRCIO DE EMPRESAS DO RAMO PERTINENTE, PARA ELABORAÇÃO SOB DEMANDA, PROJETOS BÁSICOS A NÍVEL DE EXECUTIVO DE EDIFICAÇÕES, OBRAS RODOVIÁRIAS E PAVIMENTAÇÃO URBANA NO MUNICÍPIO DE CRICIÚMA/SC.","Concorrência eletrônica",2025-04-17,"Obras e Serviços de Engenharia","TÉCNICA E PREÇO",2025-07-01,HOMOLOGADO," "," "," ","contratos_fef0af92-d142-45ed-bd62-ac411aafcf20.csv",2025-06-12T09:00:00Z," ",2025-04-17,2025-06-12," "," ","documentosRelacionados_fd19fdfc-f690-40a6-928a-aecc38df9732.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-17T08:00:00Z,"itensVencedores_b019a3c9-0704-411d-89b2-da1f95069ab9.csv",INTERNET," "," "," ","participantes_3bd7323c-d5a2-4571-8da6-bfb4d8a8a5b2.csv",NÃO," ",2025-06-12T08:30:00Z,"Lei 14133/2021, Art. 6, XXXVIII",1.47899091E7,1.324198302E7
"PREFEITURA MUNICIPAL DE CRICIUMA",38,2025,38,2025,"Contratação de empresa, do ramo pertinente, para prestação de serviços de consultoria especializada em gestão de projetos e planejamento estratégico para realização de workshop com gestores municipais de Criciúma/SC.","Dispensa eletrônica",2025-04-01,"Prestação de serviços","MENOR PRECO GLOBAL"," ",REVOGADO," "," "," "," ",2025-04-07T09:00:00Z," ",2025-03-24,2025-04-07,2025-04-04," ","documentosRelacionados_6208f5e4-ec5f-4e30-a665-ca69b77c0b67.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-01T08:00:00Z," ",INTERNET," ","Razões de Interesse Público"," "," ",NÃO," ",2025-04-07T08:30:00Z,"Lei 14133/2021, Art. 75, I",16400," "
"PREFEITURA MUNICIPAL DE CRICIUMA",20,2025,20,2025,"Registro de preços de serviços de limpeza e desinfecção de caixas d’agua, em atendimentos aos prédios públicos da Administração Municipal, Secretaria de Educação, Diretoria de Trânsito e Transportes, Fundo Municipal de Saúde, Fundo Municipal de Assistência Social, 9º Batalhão da Polícia Militar e 4º Batalhão de Bombeiro Militar de Criciúma/SC.","Pregão eletrônico",2025-03-14,"Prestação de serviços","MENOR PRECO GLOBAL",2025-04-29,HOMOLOGADO," ","atasRegistroPrecos_e591dc9c-9bc3-481b-add5-87cba75eba09.csv"," "," ",2025-03-27T09:00:00Z," ",2025-02-17,2025-03-27," ","despesas_281c9b03-ece7-496e-961d-7e7603acd035.csv","documentosRelacionados_769b7424-681d-43d7-aa3a-feb4b696cba8.csv","compras@criciuma.sc.gov.br","empenhos_33f76318-d4a9-4d08-9bed-0fca43afa566.csv","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-03-11T08:00:00Z,"itensVencedores_c8997952-3caa-4bad-8348-bda1d0bec5c3.csv",INTERNET," "," "," ","participantes_ac6f40d8-db05-41ef-a28c-cb0d73b33edd.csv",SIM," ",2025-03-27T08:30:00Z,"Lei 14133/2021, Art. 28, I",421500,196700
"PREFEITURA MUNICIPAL DE CRICIUMA",86,2025,86,2025,"Prestação de serviços contínuos, sem regime de dedicação exclusiva, de conservação, manutenção preventiva mensal e corretiva conforme demanda, com fornecimento de peças novas, incluindo mão de obra, equipamentos, materiais de consumo, acessórios e outros componentes indispensáveis à completa execução dos serviços em 3 (três) elevadores e 2 (duas) duas plataformas elevatórias, instalados em locais responsabilidade do município de Criciúma/SC.","Pregão eletrônico",2025-06-24,"Obras e Serviços de Engenharia","MENOR PRECO POR ITEM",2025-07-29,HOMOLOGADO," "," "," ","contratos_9841797d-970d-4fc1-bfd4-02cdcf5a6603.csv",2025-07-10T09:00:00Z," ",2025-05-06,2025-07-10," "," ","documentosRelacionados_de0c0d44-2d05-4e71-9af1-dac737bddef2.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-06-24T11:00:00Z,"itensVencedores_0c62d21c-fd0a-423b-8a89-ef857b05d323.csv",INTERNET," "," "," ","participantes_812ac05c-0d9d-47a8-bf03-475520f484ec.csv",NÃO," ",2025-07-10T08:30:00Z,"Lei 14133/2021, Art. 28, I",45540,34320
"PREFEITURA MUNICIPAL DE CRICIUMA",88,2025,88,2025,"Registro de preços de peças e serviços, para manutenção preventiva e corretiva (mecânica, elétrica e funilaria) das motocicletas pertencentes a frota do 9º Batalhão de Polícia Militar de Criciúma/SC.","Pregão eletrônico",2025-07-09,"Prestação de serviços","MAIOR DESCONTO SOBRE TABELA",2025-07-29,HOMOLOGADO," ","atasRegistroPrecos_016a466a-6d21-4f58-9601-2b11a909c1f8.csv"," "," ",2025-07-25T09:00:00Z," ",2025-05-13,2025-07-25," ","despesas_df3faaf0-a9a5-4463-8c75-fe0bf711d15e.csv","documentosRelacionados_2c1bb335-03ae-49a4-8ff9-f0bd90042e08.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-07-09T12:00:00Z,"itensVencedores_88d6ee0b-f0ed-46cc-9ee0-bd5bdabb7074.csv",INTERNET," "," "," ","participantes_8a5227bb-8e9f-4e17-9402-1c09ab8b869e.csv",SIM," ",2025-07-25T08:30:00Z,"Lei 14133/2021, Art. 28, I",214476,214476
"PREFEITURA MUNICIPAL DE CRICIUMA",115,2025,115,2025,"Aquisição de picapes novas destinadas ao uso nas atividades operacionais da Secretaria de infraestrutura e Obras do Município de Criciúma/SC. (EMENDA FEDERAL nº 20240620002)","Pregão eletrônico",2025-08-28,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-09-15,HOMOLOGADO," "," "," ","contratos_ec826cd9-2d46-4748-8648-77261f49f167.csv",2025-09-11T09:00:00Z," ",2025-05-23,2025-09-11," "," ","documentosRelacionados_c82c9906-6981-4b3d-857b-fbff7bdd3268.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-27T17:00:00Z,"itensVencedores_c00c7ecd-11dd-4ad6-a1da-8d6dc3836e22.csv",INTERNET," "," "," ","participantes_1d94c6bd-91ac-4f53-948a-823cf324d5e7.csv",NÃO," ",2025-09-11T08:30:00Z,"Lei 14133/2021, Art. 28, I",555000,554500
"PREFEITURA MUNICIPAL DE CRICIUMA",91,2025,91,2025,"Locação de um imóvel destinado ao funcionamento do Conselho Tutelar do município de Criciúma/SC.","Pregão eletrônico",2025-07-09,Locação,"MENOR PRECO POR ITEM",2025-07-24,HOMOLOGADO," "," "," ","contratos_f82a6322-86d3-47ab-97eb-e1aee082d7de.csv",2025-07-23T09:00:00Z," ",2025-06-12,2025-07-23," "," ","documentosRelacionados_a31f7c3f-4f77-469b-88ca-a57896e2b671.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-07-09T08:00:00Z,"itensVencedores_edb9d50c-adf9-4d03-ab85-0ce59fb7a066.csv",INTERNET," "," "," ","participantes_53aa78b8-49bb-43d0-ae2e-12d5a55f211e.csv",NÃO," ",2025-07-23T08:30:00Z,"Lei 14133/2021, Art. 28, I",96000,90600
"PREFEITURA MUNICIPAL DE CRICIUMA",116,2025,116,2025,"Contratação de empresa, isoladamente ou em consórcio, legalmente constituída e especializada em engenharia civil, para a implantação de espaço público de lazer e convivência (praça pública), a ser executada na Rua Rodrigo Bernardo Colombo, situada no bairro Vila São José, loteamento Las Vegas, no município de Criciúma/SC.","Concorrência eletrônica",2025-08-22,"Obras e Serviços de Engenharia","MENOR PRECO GLOBAL",2025-09-22,HOMOLOGADO," "," "," ","contratos_e69ec256-a20e-4b04-af0b-0986f31b6675.csv",2025-09-08T09:00:00Z," ",2025-06-13,2025-09-08," "," ","documentosRelacionados_065c99c7-fa08-41db-a14d-7cebf6aab568.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-22T13:00:00Z,"itensVencedores_58592ce3-2ae6-4d8c-9649-805c8a3e15e5.csv",INTERNET," "," "," ","participantes_e7d8f489-9d76-41be-9955-d8348f9baa8b.csv",NÃO," ",2025-09-08T08:30:00Z,"Lei 14133/2021, Art. 6, XXXVIII",1507114.41,1205691.53
"FUNDAÇÃO CULTURAL DE CRICIÚMA",7,2025,7,2025,"Registro de preços de mobílias (mesas e cadeiras) e toalhas de mesa, para atender as necessidades dos eventos de responsabilidade da Fundação Cultural e do Município de Criciúma/SC.","Pregão eletrônico",2025-06-11,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-06-27,HOMOLOGADO," ","atasRegistroPrecos_c75d9c1e-2fef-4455-b978-c3435f932ea0.csv"," "," ",2025-06-26T09:00:00Z," ",2025-03-31,2025-06-26," ","despesas_983141ab-eafd-4cd1-ba7c-9bfff34a0e97.csv","documentosRelacionados_fcb06536-f190-47a9-be55-0c84c876c096.csv",fcc@criciuma.sc.gov.br,"empenhos_1dc6edee-d594-49d6-8090-166ec554d8ec.csv","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-06-11T08:00:00Z,"itensVencedores_5568614f-31c1-4adf-bd80-c6acbd037666.csv",INTERNET," "," "," ","participantes_02679246-eda6-463e-ba76-761d9c29ee9a.csv",SIM," ",2025-06-26T08:30:00Z,"Lei 14133/2021, Art. 28, I",105531.4,82522.6
"FUNDAÇÃO CULTURAL DE CRICIÚMA",6,2025,6,2025,"Registro de preços de instrumentos musicais (pianos) para atender as demandas da Fundação Cultural de Criciúma/SC.","Pregão eletrônico",2025-05-27,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-06-17,HOMOLOGADO," ","atasRegistroPrecos_a13ce15b-162c-4b3e-83f2-f9540aa6f10b.csv"," "," ",2025-06-10T09:00:00Z," ",2025-03-10,2025-06-10," ","despesas_c42b7311-e4cb-4d5b-a7c1-59662a984464.csv","documentosRelacionados_97644e95-650e-490f-966d-7c7769eac015.csv",fcc@criciuma.sc.gov.br,"empenhos_64a39ac9-8aa2-4ee9-b9bb-6949af91537c.csv","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-05-27T12:00:00Z,"itensVencedores_fdc4ae97-7255-4e14-afb1-6fdd4e52ee16.csv",INTERNET," "," "," ","participantes_28c6c7a0-67af-4598-bd64-a97f2fd5d907.csv",SIM," ",2025-06-10T08:30:00Z,"Lei 14133/2021, Art. 28, I",54800,28880
"FUNDAÇÃO CULTURAL DE CRICIÚMA",8,2025,8,2025,"Registro de preços para aquisição de camisetas personalizadas, em atendimento aos eventos institucionais promovidos pela Fundação Cultural do Município de Criciúma/SC.","Pregão eletrônico",2025-06-23,"aquisição de Bens para Compra, inclusive por Encom","MENOR PRECO POR ITEM",2025-07-18,HOMOLOGADO," ","atasRegistroPrecos_590b6c3a-0f15-42ca-8bc8-c03b334482f4.csv"," "," ",2025-07-04T09:00:00Z," ",2025-05-08,2025-07-04," ","despesas_55ee5bf9-4265-4ccb-a244-2838f9146d96.csv","documentosRelacionados_9c509a46-18e7-48f8-b768-5e6f398a0aad.csv",fcc@criciuma.sc.gov.br,"empenhos_98d884a7-fe5f-469c-8c34-77aeda6212f2.csv","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,Licitação,2025-06-23T12:00:00Z,"itensVencedores_a2026f37-690a-4a9b-aa4a-e6bf3a5431f2.csv",INTERNET," "," "," ","participantes_32d2fa78-d6a4-483a-8fdf-d7b5e64a49bd.csv",SIM," ",2025-07-04T08:30:00Z,"Lei 14133/2021, Art. 28, I",32500,18800
