nomeEntidade,anoLicitacao,anoProcesso,numeroLicitacao,dataPublicacao,objeto,tipoObjeto,dataHomologacao,numeroProcesso,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",2025,2025,8,2025-12-12,"Constitui Objeto do presente Contrato a contratação de serviços de gerenciamento de manutenção preditiva, preventiva e corretiva de frotas de veículos automotores e equipamentos, incluindo pneus, óleos lubrificantes e lavação, em uma ampla rede credenciada de oficinas, autopeças ou concessionárias, no modelo de autogestão, vedada a cobrança de taxas secundárias, mensalidades e similares da rede credenciada, conforme especificações constantes do Termo de Referência e de acordo com tabela de preço","Prestação de serviços",2025-11-11,8,HOMOLOGADO,"adesao_f5d4449a-1764-4255-99c2-01522b46223d.csv"," "," ","contratos_b61878cd-17f3-4fd5-9aa4-be346d503520.csv"," "," ",2025-11-11,," "," ","documentosRelacionados_6e94728c-ba58-422d-9faa-32c896fa52d0.csv",," ","Rua: Domênico Sonego","Rua: Domênico Sonego",SC,"Adesão à ata de registro de preços"," ","itensVencedores_58751b75-f514-4c3f-8f18-4e8b3da3c143.csv",INTERNET," "," "," ","participantes_1a1d9ec2-7106-4693-ab98-1a8430c6d889.csv",NÃO," "," ","Lei 14133/2021, Art. 86, §2º",250000,250000
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,168,2025-11-12,"Contratação de serviços de gerenciamento de manutenção preditiva, preventiva e corretiva de frotas de veículos automotores e equipamentos, incluindo pneus, óleos lubrificantes e lavação, em uma ampla rede credenciada de oficinas, autopeças ou concessionárias, no modelo de autogestão, vedada a cobrança de taxas secundárias, mensalidades e similares da rede credenciada, conforme especificações constantes do Termo de Referência e de acordo com tabela de preços registrados","Prestação de serviços",2025-11-11,168,HOMOLOGADO,"adesao_62013dd9-1c1f-4352-b696-ca05a5f5d235.csv"," "," ","contratos_b5ac1541-c192-45bf-b91b-b5168eb2d9c4.csv"," "," ",2025-11-11,," "," ","documentosRelacionados_16dfa588-50a5-4d14-a455-1c27f02c7f96.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Adesão à ata de registro de preços"," ","itensVencedores_67dc95b8-4398-4c2c-acfc-cd585e76cb2f.csv",INTERNET," "," "," ","participantes_55117ed0-46b5-453a-a1ba-a36568b278d3.csv",NÃO," "," ","Lei 14133/2021, Art. 86, §2º",5200000,5200000
"FUNDAÇÃO CULTURAL DE CRICIÚMA",2025,2025,30,2025-11-12,"Contratação de serviços de gerenciamento de manutenção preditiva, preventiva e corretiva de frotas de veículos automotores e equipamentos, incluindo pneus, óleos lubrificantes e lavação, em uma ampla rede credenciada de oficinas, autopeças ou concessionárias, no modelo de autogestão, vedada a cobrança de taxas secundárias, mensalidades e similares da rede credenciada, conforme especificações constantes do Termo de Referência e de acordo com tabela de preços registrados.","Prestação de serviços",2025-11-11,30,HOMOLOGADO,"adesao_011d77c6-0ee5-462b-a675-73f19140a9e9.csv"," "," ","contratos_9b27d9a8-95ad-4423-bcb3-5ebf35531359.csv"," "," ",2025-11-11,," "," ","documentosRelacionados_a1ceb20a-e80b-490f-b63d-35f7cb6fd884.csv",fcc@criciuma.sc.gov.br," ","Rua Coronel Pedro Benedet","Rua Coronel Pedro Benedet",SC,"Adesão à ata de registro de preços"," ","itensVencedores_918b2ca5-dff4-42bf-9107-c698ecb81803.csv",INTERNET," "," "," ","participantes_85be7385-e08b-43ea-87eb-6f0734f65cd0.csv",NÃO," "," ","Lei 14133/2021, Art. 86, §2º",50000,50000
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2025,2025,25,2025-11-12,"Contratação de serviços de gerenciamento de manutenção preditiva, preventiva e corretiva de frotas de veículos automotores e equipamentos, incluindo pneus, óleos lubrificantes e lavação, em uma ampla rede credenciada de oficinas, autopeças ou concessionárias, no modelo de autogestão, vedada a cobrança de taxas secundárias, mensalidades e similares da rede credenciada, conforme especificações constantes do Termo de Referência e de acordo com tabela de preços registrados.","Prestação de serviços",2025-11-11,25,HOMOLOGADO,"adesao_9f555eda-92a7-46f5-aa91-a29bf716de63.csv"," "," ","contratos_7dd420e0-e824-47d8-8074-b833d2e35a21.csv"," "," ",2025-11-11,," "," ","documentosRelacionados_61f170b7-6c27-4e78-b9f9-55df0dd6d780.csv",," ","Rua Domênico Sônego.","Rua Domênico Sônego.",SC,"Adesão à ata de registro de preços"," ","itensVencedores_36c67de3-c4d9-4ac2-8a8b-2df10f3771c5.csv",INTERNET," "," "," ","participantes_4f3e5408-9842-4351-883c-7fc7fcfadf39.csv",NÃO," "," ","Lei 14133/2021, Art. 86, §2º",200000,200000
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2025,2025,5,2025-02-24,"Acolhimento institucional nos termos da Lei Federal nº 14.133/21, Art 75, inciso VIII, por um período de até 06(seis) meses, atendendo determinação da VARA DA INFÂNCIA E JUVENTUDE E ANEXOS DA COMARCA DE CRICIÚMA, através da decisão no evento n° 69 – PROC N° 5027661-23.2024.8.24.0020/SC, para a adolescente ALLANA CORDOVA GONCALVES. Sendo possível ser prorrogado por igual período em caso de necessidade.","Prestação de serviços",2025-02-21,5,HOMOLOGADO," "," "," ","contratos_5474125b-88e4-4bcb-91f6-65e9d724cc39.csv",2025-02-21T08:00:00Z," ",2025-02-21,2025-02-21," "," ","documentosRelacionados_d9a87a69-6cb5-4cf5-a9bc-7bdba894bd20.csv",," ","Rua Domênico Sônego.","Rua Domênico Sônego.",SC,Licitação,2025-02-21T08:00:00Z,"itensVencedores_5bd3841f-f904-48a0-9e0e-42441ff4d8d0.csv",INTERNET," "," "," ","participantes_61c0738f-31c5-4555-98ab-920d60cdff18.csv",NÃO," ",2025-02-21T08:00:00Z,"Lei 14133/2021, Art. 75, VII",39000,39000
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2025,2025,13,2025-06-26,"Contratação de empresa especializada no fornecimento e instalação de aparelhos de ar condicionados, em atendimento às necessidades da Central de Serviços Funerários de Criciúma/SC.","aquisição de Bens para Compra, inclusive por Encom",2025-07-07,13,HOMOLOGADO," "," "," "," ",2025-07-03T09:00:00Z," ",2025-05-16,2025-07-03," "," ","documentosRelacionados_547aa3be-d164-4ddb-b3dc-8b70d5055b23.csv",," ","Rua Domênico Sônego.","Rua Domênico Sônego.",SC,Licitação,2025-06-26T12:00:00Z,"itensVencedores_73c0a408-1374-40cd-a48e-d0120fe0beaf.csv",INTERNET," "," "," ","participantes_982ccb51-0218-4098-9e9f-e1039cc1c0e3.csv",NÃO," ",2025-07-03T08:30:00Z,"Lei 14133/2021, Art. 75, I",17758,15598
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,38,2025-04-01,"Contratação de empresa, do ramo pertinente, para prestação de serviços de consultoria especializada em gestão de projetos e planejamento estratégico para realização de workshop com gestores municipais de Criciúma/SC.","Prestação de serviços"," ",38,REVOGADO," "," "," "," ",2025-04-07T09:00:00Z," ",2025-03-24,2025-04-07,2025-04-04," ","documentosRelacionados_f1cc1229-4098-43b0-bda2-0880d7fb0a91.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-01T08:00:00Z," ",INTERNET," ","Razões de Interesse Público"," "," ",NÃO," ",2025-04-07T08:30:00Z,"Lei 14133/2021, Art. 75, I",16400," "
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,110,2025-08-08,"Contratação de empresa, do ramo pertinente, para prestação de serviços de troca do telhado da estrutura da academia do 9º Batalhão de Polícia Militar de Criciúma/SC.","Prestação de serviços",2025-08-20,110,HOMOLOGADO," "," "," ","contratos_7f437bdb-380d-4114-a787-8924ae445e78.csv",2025-08-18T09:00:00Z," ",2025-07-02,2025-08-18," "," ","documentosRelacionados_b0c56374-d5b5-44a9-9715-11a03cc73d08.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-08T12:00:00Z,"itensVencedores_a4c2807d-ab32-4d4f-af12-10d1da0a0ec2.csv",INTERNET," "," "," ","participantes_d957c390-f17c-41ca-bb41-13c2ec4fed72.csv",NÃO," ",2025-08-18T08:30:00Z,"Lei 14133/2021, Art. 75, II",101938.58,78100
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,48,2025-04-25,"Aquisição de Gás Liquefeito de Petróleo (GLP) P13, em atendimento as demandas do 4º Batalhão de Bombeiro Militar de Criciúma/SC.","aquisição de Bens para Compra, inclusive por Encom"," ",48,REVOGADO," "," "," "," ",2025-05-02T09:00:00Z," ",2025-03-25,2025-05-02,2025-05-06," ","documentosRelacionados_8947e4e4-31f8-4b80-b739-3e46bd80e8b1.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-25T14:30:00Z," ",INTERNET," ","Licitação deserta"," "," ",NÃO," ",2025-05-02T08:30:00Z,"Lei 14133/2021, Art. 75, II",3630," "
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,109,2025-08-11,"Contratação de empresa, do ramo pertinente, para fornecimento de licença perpétua de software PIX4d para processamento de imagens aéreas, em atendimento das demandas da Secretaria de Desenvolvimento Econômico, Industria, Comércio e Serviços do Município de Criciúma/SC.","Contratação de Tecnologia da informação e de Comunicação",2025-08-22,109,HOMOLOGADO," "," "," ","contratos_86338d4c-d95c-4adc-b5d9-cfdd13da2299.csv",2025-08-15T09:00:00Z," ",2025-06-06,2025-08-15," "," ","documentosRelacionados_e78a952a-4e29-435f-8ee0-d05e271170bb.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-08T08:00:00Z,"itensVencedores_dd7f4730-1fe0-4171-8416-2a6e37dc585f.csv",INTERNET," "," "," ","participantes_2605402e-ddd7-47ed-bf56-e311f922635a.csv",NÃO," ",2025-08-15T08:30:00Z,"Lei 14133/2021, Art. 75, II",26067.9,24500
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,100,2025-07-24,"Contratação de empresa, do ramo pertinente, para prestação de serviços técnicos relativos à vistoria de constatação, análise de causalidade e projeto de recuperação da edificação que abrigará o Centro Educacional Especializado e Multidisciplinar de Atendimento ao Autista, localizada na Rua dos Ferroviários esquina com a Rua Piçarras, no bairro Pinheirinho, Município de Criciúma/SC.","Prestação de serviços",2025-09-04,100,HOMOLOGADO," "," "," ","contratos_def73cb6-c8c5-478e-80b3-487fbde18760.csv",2025-07-31T09:00:00Z," ",2025-06-09,2025-07-31," "," ","documentosRelacionados_92a83a5e-4598-4004-a7a0-6b90c5071cb6.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-07-24T15:30:00Z,"itensVencedores_4639fcd2-6921-432b-854a-cc84f2b3ba65.csv",INTERNET," "," "," ","participantes_5b346f4e-71ac-4dce-989c-834f2a450144.csv",NÃO," ",2025-07-31T08:30:00Z,"Lei 14133/2021, Art. 75, II",33600,23790.0
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,111,2025-08-08,"Contratação de empresa, do ramo pertinente, para o fornecimento e a instalação de 2 (dois) bebedouros com água quente e fria, a serem dispostos em parques e praças do Município de Criciúma/SC.","Obras e Serviços de Engenharia",2025-08-25,111,HOMOLOGADO," "," "," ","contratos_cd344cfe-a491-4c18-8bb6-cac7af5e73b0.csv",2025-08-20T09:00:00Z," ",2025-07-08,2025-08-20," "," ","documentosRelacionados_29d07246-da91-4323-8548-f0e6a3ae1cbb.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-08-11T12:00:00Z,"itensVencedores_b5bbc891-203e-4174-873a-ed6e586af1fc.csv",INTERNET," "," "," ","participantes_dd9a2b35-594a-4c56-b458-5a237faae7f2.csv",NÃO," ",2025-08-20T08:30:00Z,"Lei 14133/2021, Art. 75, II",55800,31998
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,51,2025-05-02,"Contratação de Serviço Especializado para Colocação de Perfis Metálicos de Alumínio e Telhas Metálicas para Fechamento Lateral, destinados a Academia do 9º Batalhão de Polícia Militar de Criciúma.","Prestação de serviços",2025-05-13,51,HOMOLOGADO," "," "," ","contratos_a29974f8-1fca-4663-9693-ebe794b6cf74.csv",2025-05-08T09:00:00Z," ",2025-03-27,2025-05-08," "," ","documentosRelacionados_0da5bd9e-9f75-4197-b8f6-8567fa60e885.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-05-02T16:30:00Z,"itensVencedores_c32872fa-fd4c-4e33-9f91-e29bf6d2d13b.csv",INTERNET," "," "," ","participantes_cee92cf1-62fc-4a55-8948-ee668200c803.csv",NÃO," ",2025-05-08T08:30:00Z,"Lei 14133/2021, Art. 75, II",27571.2,25500
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,70,2025-05-28,"Aquisição de mobiliário, em atendimento as necessidades do gabinete do prefeito e do salão ouro negro, da prefeitura de Criciúma/SC.","aquisição de Bens para Compra, inclusive por Encom",2025-06-04,70,HOMOLOGADO," "," "," ","contratos_5d5e9624-81ac-414a-9895-a574c5d34ef0.csv",2025-06-02T09:00:00Z," ",2025-04-14,2025-06-02," "," ","documentosRelacionados_dd6efab9-56fc-4244-9ffc-e194c81ee63e.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-05-28T08:00:00Z,"itensVencedores_54e85126-e9be-437b-8545-3323a9a1e7fb.csv",INTERNET," "," "," ","participantes_13c2ecb8-0520-4ac9-94a2-0282cd24fbb8.csv",NÃO," ",2025-06-02T08:30:00Z,"Lei 14133/2021, Art. 75, II",36587,27485.0
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,97,2025-07-24,"Contratação de empresa especializada para a realização de levantamentos, avaliações e quantificações necessárias à elaboração de Estudo Técnico, acompanhado de Parecer Técnico circunstanciado e devidamente fundamentado, conforme previsto no artigo 2º, inciso III, da Lei Municipal nº 5.660/2010, que dispõe sobre o Sistema de Estacionamento Rotativo no município de Criciúma/SC.","Prestação de serviços",2025-08-11,97,HOMOLOGADO," "," "," ","contratos_a99cdd83-c87d-4951-8c1b-e0b1d78da548.csv",2025-07-30T09:00:00Z," ",2025-07-16,2025-07-30," "," ","documentosRelacionados_2eacef4c-10ab-4d37-b3f0-c1be8132ddd6.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-07-24T12:00:00Z,"itensVencedores_062b26d8-1161-485d-b729-1339b2369b4c.csv",INTERNET," "," "," ","participantes_8b2ea67d-d34a-477b-9d73-65c0f17cce6c.csv",NÃO," ",2025-07-30T08:30:00Z,"Lei 14133/2021, Art. 75, II",69446.22,29000
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,34,2025-04-01,"Contratação de empresa para fornecimento de unidades de armazenamento de dados, a fim de, garantir a segurança e disponibilidade dos dados gerenciados para diversos setores da Prefeitura Municipal de Criciúma/SC.","aquisição de Bens para Compra, inclusive por Encom",2025-04-09,34,HOMOLOGADO," "," "," ","contratos_d8b40dd5-1377-4f8d-b0b7-dfdd81f4b64b.csv",2025-04-08T09:00:00Z," ",2025-03-03,2025-04-08," "," ","documentosRelacionados_d6d9be08-5659-4317-805a-37bd8c7394ff.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-04-01T08:00:00Z,"itensVencedores_04535450-2f4e-4109-b2b2-9c58250c7b4f.csv",INTERNET," "," "," ","participantes_16b3b5e0-e2cc-4881-8d7e-27ad939459a9.csv",NÃO," ",2025-04-08T09:00:00Z,"Lei 14133/2021, Art. 75, II",58789.42,29040
"PREFEITURA MUNICIPAL DE CRICIUMA",2025,2025,4,2025-01-16,"Contratação de empresa, do ramo pertinente, para prestação de serviços técnicos relativos à vistoria de análise de causalidade, em conformidade com os requisitos estabelecidos pela ABNT NBR 13752:2024, para a identificação e análise das causas que causaram o desabamento da estrutura da cancha de bocha, localizada no Parque dos Imigrantes, no Município de Criciúma/SC.","Prestação de serviços",2025-02-06,4,HOMOLOGADO," "," "," ","contratos_31c6c6fe-7487-4adc-935f-7c29830e1b24.csv",2025-01-22T09:00:00Z," ",2025-01-16,2025-01-22," "," ","documentosRelacionados_f577f221-555b-485d-a1f5-bcc4f0d53812.csv","compras@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Licitação,2025-01-16T08:00:00Z,"itensVencedores_f47764b5-b0cc-45d9-ae3a-8b4a85d6c41f.csv",INTERNET," "," "," ","participantes_d2312e21-8432-45ff-b6a8-5c4e563832fd.csv",NÃO," ",2025-01-22T08:30:00Z,"Lei 14133/2021, Art. 75, II",22400,22000
